 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
          l                 5e-07                 5e-07               1.5e-07
          w                 5e-05                0.0001                 0.002
          m                     1                     1                     1
         nf                    10                    20                   400
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              7.25e-12              1.45e-11               2.9e-10
         as               8.7e-12             1.595e-11            2.9145e-10
         pd              5.29e-05             0.0001058              0.002116
         ps             6.348e-05            0.00011638            0.00212658
        nrd                0.0058                0.0029              0.000145
        nrs                0.0058                0.0029              0.000145
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           4.29407e-05           0.000787746            0.00332443
         gm           0.000180198            0.00378695             0.0200846
        gds           1.22189e-05           2.88502e-05             0.0032706
      vdsat             0.0604717             0.0672693             0.0583678
        vth              0.433799              0.668025              0.858704
         id           9.99971e-06               0.00019            0.00110702
        ibd          -2.74202e-13          -9.69904e-13          -2.98741e-13
        ibs          -5.79984e-20          -5.50587e-19          -1.60064e-19
        gbd                 1e-12                 1e-12                 1e-12
        gbs                 1e-12           1.00003e-12           1.00006e-12
       isub           2.85822e-24           3.41598e-11           2.92156e-21
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.79966e-08          -5.50136e-07          -1.60053e-07
        vgs              0.443019              0.695702              0.830096
        vds              0.274202              0.969903               0.29874
        cgg           5.49648e-14           2.56155e-13           1.40647e-12
        cgs           -1.8834e-14          -2.29763e-13           -8.7409e-13
        cgd          -2.28675e-17           4.62215e-16           9.70909e-14
        cbg          -3.69802e-14          -5.19426e-14          -5.01263e-13
        cbd          -2.06881e-17           2.97099e-17           3.64649e-14
        cbs          -4.47604e-15          -2.08183e-14          -3.34972e-13
        cdg          -7.22614e-15          -8.17328e-14           -3.6455e-13
        cdd           3.40072e-17          -1.78569e-16          -5.13436e-14
        cds           9.35038e-15           1.00275e-13           4.84571e-13
        csg          -1.07585e-14           -1.2248e-13          -5.40661e-13
        csd           9.54832e-18          -3.13355e-16          -8.22122e-14
        css           1.39597e-14           1.50306e-13           7.24491e-13
        cgb          -3.61079e-14          -2.68546e-14          -6.29475e-13
        cdb          -2.15824e-15          -1.83637e-14          -6.86771e-14
        csb          -3.21074e-15          -2.75129e-14          -1.01618e-13
        cbb           4.14769e-14           7.27312e-14           7.99771e-13
      capbd           1.40377e-14           2.27111e-14           5.49541e-13
      capbs           1.80248e-14           3.78142e-14           6.43662e-13
         qg           8.71826e-14            1.6919e-13            2.0555e-12
         qb          -8.57287e-14          -1.26087e-13             -1.88e-12
         qd          -5.84061e-16          -1.72496e-14          -7.05507e-14
         qs          -8.69798e-16          -2.58535e-14          -1.04947e-13
       qinv                     0                     0                     0
       qdef                    -0                     0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0426165             0.0485036             0.0301536
     vdseff             0.0484062             0.0665328             0.0560579
       cgso           3.65261e-15           2.44926e-14           1.40301e-13
       cgdo           3.65261e-15           2.44926e-14           1.40236e-13
       cgbo           4.59236e-19           9.25674e-19                     0
       weff           5.03009e-06           5.00132e-06           5.03043e-06
       leff           4.70145e-07           4.51881e-07           1.53733e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm8.msky130_fd_pr__ m.xm7.msky130_fd_pr__ m.xm6.msky130_fd_pr__
      model xm8:sky130_fd_pr__nfe xm7:sky130_fd_pr__pfe xm6:sky130_fd_pr__nfe
          l                 1e-06                 5e-07                 1e-06
          w                 3e-05                 6e-05                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
