 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
          l                 5e-07                 5e-07               1.5e-07
          w                 5e-05                0.0001                 0.002
          m                     1                     1                     1
         nf                    10                    20                   400
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              7.25e-12              1.45e-11               2.9e-10
         as               8.7e-12             1.595e-11            2.9145e-10
         pd              5.29e-05             0.0001058              0.002116
         ps             6.348e-05            0.00011638            0.00212658
        nrd                0.0058                0.0029              0.000145
        nrs                0.0058                0.0029              0.000145
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           3.66973e-05           0.000684454            0.00396807
         gm           0.000155211            0.00320215             0.0167465
        gds           9.07842e-06           2.25168e-05            0.00212297
      vdsat             0.0738095             0.0881414             0.0740101
        vth              0.408402              0.627846              0.764552
         id           1.00289e-05           0.000190014            0.00110446
        ibd          -3.81904e-13          -1.09228e-12          -3.67385e-13
        ibs           -6.0418e-20          -1.15958e-18          -4.97556e-19
        gbd                 1e-12                 1e-12            1.0004e-12
        gbs           1.04173e-12           2.10994e-12           3.10898e-12
       isub           1.16002e-20           1.13505e-10           3.07453e-22
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.79952e-08          -5.48151e-07          -1.60035e-07
        vgs                0.4053                0.6808              0.737691
        vds              0.381508               1.06231              0.298916
        cgg           6.40673e-14           2.45363e-13           1.56939e-12
        cgs          -2.37316e-14          -2.17878e-13          -9.57547e-13
        cgd          -1.72196e-17           3.56412e-16           7.47363e-14
        cbg          -4.07629e-14          -5.24103e-14           -5.7675e-13
        cbd          -1.31585e-17           2.76472e-17             3.074e-14
        cbs          -6.73012e-15          -2.30435e-14          -4.09313e-13
        cdg          -9.34534e-15          -7.72198e-14          -4.00045e-13
        cdd           2.38638e-17          -1.37571e-16          -3.91715e-14
        cds           1.22047e-14           9.64028e-14           5.47656e-13
        csg          -1.39591e-14          -1.15733e-13          -5.92594e-13
        csd           6.51431e-18          -2.46489e-16          -6.63048e-14
        css            1.8257e-14           1.44518e-13           8.19204e-13
        cgb          -4.03185e-14          -2.78419e-14          -6.86578e-13
        cdb          -2.88321e-15          -1.90455e-14           -1.0844e-13
        csb          -4.30443e-15          -2.85388e-14          -1.60305e-13
        cbb           4.75061e-14           7.54261e-14           9.55323e-13
      capbd            1.4591e-14           2.63804e-14            5.9914e-13
      capbs            1.9825e-14           4.57432e-14           7.05109e-13
         qg           9.93877e-14           1.79809e-13           2.44824e-12
         qb          -9.69188e-14           -1.3104e-13          -2.22643e-12
         qd          -9.89951e-16          -1.95153e-14          -8.91901e-14
         qs          -1.47897e-15           -2.9253e-14          -1.32611e-13
       qinv                     0                     0                     0
       qdef                    -0                     0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0435559             0.0642298             0.0382155
     vdseff             0.0627336             0.0872467             0.0709006
       cgso                 1e-15           2.46313e-14           1.48029e-13
       cgdo                 1e-15           2.46313e-14           1.47916e-13
       cgbo              5.24e-19           9.60484e-19                     0
       weff           4.98505e-06           4.95628e-06           4.98539e-06
       leff             4.944e-07           4.76136e-07           1.77988e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm8.msky130_fd_pr__ m.xm7.msky130_fd_pr__ m.xm6.msky130_fd_pr__
      model xm8:sky130_fd_pr__nfe xm7:sky130_fd_pr__pfe xm6:sky130_fd_pr__nfe
          l                 1e-06                 5e-07                 1e-06
          w                 3e-05                 6e-05                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
