 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb6.msky130_fd_ m.x1.xmb5.msky130_fd_ m.x1.xmb4.msky130_fd_
      model x1.xmb6:sky130_fd_pr_ x1.xmb5:sky130_fd_pr_ x1.xmb4:sky130_fd_pr_
          l                 5e-07                 5e-07                 1e-06
          w               0.00025               2.5e-05                 1e-05
          m                     1                     1                     1
         nf                    50                     5                     2
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad             3.625e-11              4.35e-12              1.45e-12
         as              3.77e-11              4.35e-12               2.9e-12
         pd             0.0002645             3.174e-05             1.058e-05
         ps            0.00027508             3.174e-05             2.116e-05
        nrd               0.00116                0.0116                 0.029
        nrs               0.00116                0.0116                 0.029
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000699117           7.19396e-05           6.42838e-05
         gm            0.00269751           0.000277725           0.000276166
        gds            2.2561e-05           2.00241e-06           1.68937e-06
      vdsat              0.114489              0.115205              0.119126
        vth              0.982647               0.98147               0.58946
         id           0.000194375           2.00901e-05           2.00901e-05
        ibd          -7.45806e-13          -1.04976e-12          -7.57035e-13
        ibs          -3.17791e-19          -2.58115e-19          -7.59313e-19
        gbd                 1e-12                 1e-12                 1e-12
        gbs           1.40946e-12           1.10761e-12           1.30329e-12
       isub           6.54035e-15           1.45547e-13           1.80762e-16
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -2.25465e-07          -2.33029e-07          -5.82605e-07
        vgs               1.04596               1.04596               0.70134
        vds              0.737245               1.04596              0.754037
        cgg           5.94083e-13           5.94841e-14           5.29283e-14
        cgs          -5.27668e-13          -5.28663e-14          -4.67391e-14
        cgd           1.37621e-15           1.50729e-16          -2.36202e-17
        cbg          -1.28298e-13           -1.2835e-14          -1.00646e-14
        cbd           9.37227e-17           1.72984e-17          -1.48428e-17
        cbs          -6.60385e-14          -6.61116e-15          -7.60272e-15
        cdg          -1.86531e-13          -1.86691e-14          -1.71694e-14
        cdd          -4.69017e-16          -6.33639e-17           3.04167e-17
