 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
          l                 5e-07                 5e-07               1.5e-07
          w                 5e-05                0.0001                 0.002
          m                     1                     1                     1
         nf                    10                    20                   400
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              7.25e-12              1.45e-11               2.9e-10
         as               8.7e-12             1.595e-11            2.9145e-10
         pd              5.29e-05             0.0001058              0.002116
         ps             6.348e-05            0.00011638            0.00212658
        nrd                0.0058                0.0029              0.000145
        nrs                0.0058                0.0029              0.000145
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           3.15726e-05           0.000564828            0.00425523
         gm           0.000134949            0.00258901             0.0138496
        gds           6.54844e-06           1.69589e-05            0.00144474
      vdsat             0.0940375              0.119385             0.0939404
        vth              0.311859               0.55869              0.597279
         id           9.99998e-06           0.000189999            0.00110409
        ibd           -6.3541e-12          -3.32703e-10          -1.02775e-09
        ibs          -2.47084e-17          -4.98375e-15          -3.63335e-15
        gbd           1.00064e-12                 1e-12           3.77732e-11
        gbs           4.26298e-10           9.23379e-09           2.36542e-08
       isub           1.33338e-17           7.35493e-10           1.95928e-22
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -5.79205e-08          -5.28457e-07          -1.47179e-07
        vgs              0.308895              0.659883              0.570484
        vds              0.569633               1.22952              0.299059
        cgg            7.7179e-14           2.38877e-13           1.71066e-12
        cgs          -3.29009e-14          -2.11414e-13          -1.03018e-12
        cgd          -1.18977e-17           2.82763e-16           5.63291e-14
        cbg          -4.42422e-14          -5.32561e-14          -6.55957e-13
        cbd          -7.65851e-18           2.70571e-17           2.46275e-14
        cbs          -1.07554e-14          -2.54388e-14          -4.84783e-13
        cdg           -1.3191e-14           -7.4277e-14          -4.25511e-13
        cdd           1.54478e-17          -1.10737e-16          -2.79549e-14
        cds           1.74773e-14           9.47669e-14           6.06674e-13
        csg          -1.97457e-14          -1.11344e-13          -6.29195e-13
        csd           4.10845e-18          -1.99083e-16          -5.30017e-14
        css            2.6179e-14           1.42086e-13           9.08289e-13
        cgb          -4.42662e-14          -2.77452e-14          -7.36813e-13
        cdb          -4.30169e-15          -2.03791e-14          -1.53208e-13
        csb          -6.43735e-15          -3.05435e-14          -2.26092e-13
        cbb           5.50052e-14           7.86678e-14           1.11611e-12
      capbd           1.46754e-14           2.92347e-14           6.51959e-13
      capbs           2.19861e-14           5.45756e-14           7.77769e-13
         qg            1.1511e-13           1.97553e-13            2.8434e-12
         qb          -1.10313e-13          -1.37635e-13           -2.5616e-12
         qd          -1.92133e-15          -2.39745e-14          -1.13363e-13
         qs          -2.87641e-15           -3.5943e-14           -1.6844e-13
       qinv                     0                     0                     0
       qdef                    -0                     0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0464921             0.0882876              0.048076
     vdseff             0.0842664              0.118321             0.0896587
       cgso           4.95496e-16           2.48072e-14           1.65961e-13
       cgdo           4.95496e-16           2.48072e-14           1.65598e-13
       cgbo            6.0125e-19           1.00245e-18                     0
       weff           4.94001e-06           4.91124e-06           4.94035e-06
       leff           5.18655e-07           5.00391e-07           2.02243e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xm8.msky130_fd_pr__ m.xm7.msky130_fd_pr__ m.xm6.msky130_fd_pr__
      model xm8:sky130_fd_pr__nfe xm7:sky130_fd_pr__pfe xm6:sky130_fd_pr__nfe
          l                 1e-06                 5e-07                 1e-06
          w                 3e-05                 6e-05                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
